brand,name,code,hex
SW,Alluring White,SW6343,#efe1d2
SW,Peach Fuzz,SW6344,#eccfbb
SW,Sumptuous Peach,SW6345,#e5b99b
SW,Fame Orange,SW6346,#db9c7b
SW,Chrysanthemum,SW6347,#c47b5b
SW,Reynard,SW6348,#b46848
SW,Pennywise,SW6349,#a2583a
SW,Intricate Ivory,SW6350,#edddca
SW,Sweet Orange,SW6351,#ebccb3
SW,Soft Apricot,SW6352,#e0b392
SW,Chivalry Copper,SW6353,#d4966e
SW,Armagnac,SW6354,#c38058
SW,Truepenny,SW6355,#b46c42
SW,Copper Mountain,SW6356,#a6613c
SW,Choice Cream,SW6357,#f0e1d0
SW,Creamery,SW6358,#edd0b6
SW,Sociable,SW6359,#e8be9b
SW,Folksy Gold,SW6360,#d69969
SW,Autumnal,SW6361,#cd8c5d
SW,Tigereye,SW6362,#bb7748
SW,Gingery,SW6363,#b06c3e
SW,Eggwhite,SW6364,#f3e5d2
SW,Cachet Cream,SW6365,#f3d9ba
SW,Ambitious Amber,SW6366,#f0cb97
SW,Viva Gold,SW6367,#e3ac72
SW,Bakelite Gold,SW6368,#d7995d
SW,Tassel,SW6369,#c6884a
SW,Saucy Gold,SW6370,#b6743b
SW,Vanillin,SW6371,#f2e3ca
SW,Inviting Ivory,SW6372,#f2d5b0
SW,Harvester,SW6373,#edc38e
SW,Torchlight,SW6374,#e5ae6b
SW,Honeycomb,SW6375,#d59858
SW,Gold Coast,SW6376,#c78538
SW,Butterscotch,SW6377,#b67d3c
SW,Crisp Linen,SW6378,#f3e6d4
SW,Jersey Cream,SW6379,#f5debb
SW,Humble Gold,SW6380,#edc796
SW,Anjou Pear,SW6381,#ddac6d
SW,Ceremonial Gold,SW6382,#d69e59
SW,Golden Rule,SW6383,#cc9249
SW,Cut the Mustard,SW6384,#ba7f38
SW,Dover White,SW6385,#f0eadc
SW,Napery,SW6386,#efddc1
SW,Compatible Cream,SW6387,#e8c89e
SW,Golden Fleece,SW6388,#d6ad78
SW,Butternut,SW6389,#cc9b5c
SW,Bosc Pear,SW6390,#c09056
SW,Gallant Gold,SW6391,#a4763c
SW,Vital Yellow,SW6392,#ede0c5
SW,Convivial Yellow,SW6393,#e9d6b0
SW,Sequin,SW6394,#e1c28d
SW,Alchemy,SW6395,#c99e53
SW,Different Gold,SW6396,#bc934d
SW,Nankeen,SW6397,#aa803a
SW,Sconce Gold,SW6398,#996f32
SW,Chamomile,SW6399,#e9e0c5
SW,Lucent Yellow,SW6400,#e4d0a5
SW,Independent Gold,SW6401,#d2ba83
SW,Antiquity,SW6402,#c2a462
SW,Escapade Gold,SW6403,#b89b59
SW,Grandiose,SW6404,#9c7f41
SW,Fervent Brass,SW6405,#95793d
SW,Ionic Ivory,SW6406,#e7dfc5
SW,Ancestral Gold,SW6407,#ddcda6
SW,Wheat Grass,SW6408,#cbb584
SW,Edgy Gold,SW6409,#b1975f
SW,Brassy,SW6410,#9d8344
SW,Bengal Grass,SW6411,#8e773f
SW,Eminent Bronze,SW6412,#7a6841
SW,Restoration Ivory,SW6413,#e9e1ca
SW,Rice Paddy,SW6414,#dfd4b0
SW,Hearts of Palm,SW6415,#cfc291
SW,Sassy Green,SW6416,#bba86a
SW,Tupelo Tree,SW6417,#9c9152
SW,Rural Green,SW6418,#8d844d
SW,Saguaro,SW6419,#655f2d
SW,Queen Anne's Lace,SW6420,#ecead5
SW,Celery,SW6421,#e0ddbd
SW,Shagreen,SW6422,#cbc99d
SW,Ryegrass,SW6423,#aeac7a
SW,Tansy Green,SW6424,#95945c
SW,Relentless Olive,SW6425,#71713e
SW,Basque Green,SW6426,#5f6033
SW,Sprout,SW6427,#e4e4ce
SW,Honeydew,SW6428,#dbddbd
SW,Baize Green,SW6429,#c7cda8
SW,Great Green,SW6430,#abb486
SW,Leapfrog,SW6431,#88915d
SW,Garden Spot,SW6432,#6d7645
SW,Inverness,SW6433,#576238
SW,Spinach White,SW6434,#e4e8da
SW,Gratifying Green,SW6435,#dae2cd
SW,Bonsai Tint,SW6436,#c5d1b2
SW,Haven,SW6437,#a3b48c
SW,Dill,SW6438,#788d60
SW,Greenfield,SW6439,#60724f
SW,Courtyard,SW6440,#475842
SW,White Mint,SW6441,#e0e7da
SW,Supreme Green,SW6442,#cfddc7
SW,Relish,SW6443,#b3cbaa
SW,Lounge Green,SW6444,#8ba97f
SW,Garden Grove,SW6445,#5e7f57
SW,Arugula,SW6446,#42603c
SW,Evergreens,SW6447,#405840
SW,Topiary Tint,SW6449,#c8d8c4
SW,Easy Green,SW6450,#acc2a8
SW,Nurture Green,SW6451,#98b092
SW,Inland,SW6452,#6c8867
SW,Cilantro,SW6453,#537150
SW,Shamrock,SW6454,#205134
SW,Fleeting Green,SW6455,#d8e2d8
SW,Slow Green,SW6456,#c6d5c9
SW,Kind Green,SW6457,#aac2b3
SW,Restful,SW6458,#91af9d
SW,Jadite,SW6459,#61826c
SW,Kale Green,SW6460,#4f6a56
SW,Isle of Pines,SW6461,#3d5541
SW,Green Trance,SW6462,#d7e4db
SW,Breaktime,SW6463,#c4d9ce
SW,Aloe,SW6464,#accabc
SW,Spearmint,SW6465,#94b5a6
SW,Grandview,SW6466,#6b927f
SW,Kendal Green,SW6467,#547867
SW,Hunt Club,SW6468,#2a4f43
SW,Waterscape,SW6470,#bfd2c9
SW,Hazel,SW6471,#a8c1b7
SW,Composed,SW6472,#7ea298
SW,Surf Green,SW6473,#5f887d
SW,Raging Sea,SW6474,#476f65
SW,Country Squire,SW6475,#124a42
SW,Glimmer,SW6476,#e0e7e2
SW,Tidewater,SW6477,#c3d7d3
SW,Watery,SW6478,#b4ccc9
SW,Drizzle,SW6479,#8caeab
SW,Lagoon,SW6480,#518682
SW,Green Bay,SW6481,#2e6864
SW,Cape Verde,SW6482,#01554f
SW,Meander Blue,SW6484,#bedbd8
SW,Raindrop,SW6485,#9ec6c6
SW,Reflecting Pool,SW6486,#7bb1b2
SW,Cloudburst,SW6487,#5c9598
SW,Grand Canal,SW6488,#3c797d
SW,Really Teal,SW6489,#016367
SW,Open Air,SW6491,#c7dfe0
SW,Jetstream,SW6492,#b0d2d6
SW,Ebbtide,SW6493,#84b4be
SW,Lakeshore,SW6494,#5b96a2
SW,Great Falls,SW6495,#217786
SW,Oceanside,SW6496,#015a6b
SW,Blue Horizon,SW6497,#d8e7e6
SW,Byte Blue,SW6498,#c5dce0
SW,Stream,SW6499,#adccd3
SW,Open Seas,SW6500,#83afbc
SW,Manitou Blue,SW6501,#5b92a2
SW,Loch Blue,SW6502,#2f778b
SW,Bosporus,SW6503,#015d75
SW,Sky High,SW6504,#dce7e8
SW,Atmospheric,SW6505,#c2dae0
SW,Vast Sky,SW6506,#a9c9d7
SW,Resolute Blue,SW6507,#85b0c4
SW,Secure Blue,SW6508,#5389a1
